epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21.591,1.97414,1.45053,1.2035,0.89363,0.25444,0.30543,0.12956,2.1332,1.90149,1.41212,0.00119641,0.00119641,0.00119641
43,22.0532,2.07908,1.37443,1.30617,0.89363,0.25444,0.30543,0.12956,2.1332,1.90149,1.41212,0.00122056,0.00122056,0.00122056
44,22.5425,2.0616,1.3287,1.2631,0.89363,0.25444,0.30543,0.12956,2.1332,1.90149,1.41212,0.00124449,0.00124449,0.00124449
45,23.0104,2.08098,1.45609,1.32757,0.89363,0.25444,0.30543,0.12956,2.1332,1.90149,1.41212,0.00126821,0.00126821,0.00126821
46,23.5057,2.00248,1.38609,1.2185,0.86336,0.3125,0.36497,0.14176,2.13349,1.63347,1.39189,0.0012917,0.0012917,0.0012917
47,23.9718,1.90387,1.3243,1.20481,0.86336,0.3125,0.36497,0.14176,2.13349,1.63347,1.39189,0.00131497,0.00131497,0.00131497
48,24.4431,1.85415,1.28754,1.17249,0.86336,0.3125,0.36497,0.14176,2.13349,1.63347,1.39189,0.00133803,0.00133803,0.00133803
49,24.9191,1.89625,1.38656,1.21914,0.86336,0.3125,0.36497,0.14176,2.13349,1.63347,1.39189,0.00136086,0.00136086,0.00136086
50,25.4053,1.96926,1.39433,1.24941,0.86987,0.33752,0.35263,0.14348,2.17327,1.39409,1.45363,0.00138347,0.00138347,0.00138347
51,25.8774,1.92717,1.31747,1.18037,0.86987,0.33752,0.35263,0.14348,2.17327,1.39409,1.45363,0.00139195,0.00139195,0.00139195
52,26.3512,1.88332,1.24522,1.15983,0.86987,0.33752,0.35263,0.14348,2.17327,1.39409,1.45363,0.00138644,0.00138644,0.00138644
53,26.8175,1.81081,1.28479,1.1775,0.86987,0.33752,0.35263,0.14348,2.17327,1.39409,1.45363,0.00138094,0.00138094,0.00138094
54,27.301,1.93952,1.35758,1.25819,0.83725,0.33125,0.33419,0.14079,2.13496,1.35761,1.47508,0.00137544,0.00137544,0.00137544
55,27.7828,1.78478,1.21313,1.11583,0.83725,0.33125,0.33419,0.14079,2.13496,1.35761,1.47508,0.00136994,0.00136994,0.00136994
56,28.2559,1.7795,1.27022,1.14905,0.83725,0.33125,0.33419,0.14079,2.13496,1.35761,1.47508,0.00136444,0.00136444,0.00136444
57,28.7373,1.85398,1.3827,1.16052,0.83725,0.33125,0.33419,0.14079,2.13496,1.35761,1.47508,0.00135894,0.00135894,0.00135894
58,29.2217,1.86114,1.32703,1.19161,0.83189,0.3375,0.33205,0.14141,2.11595,1.44845,1.44235,0.00135344,0.00135344,0.00135344
59,29.7018,1.76922,1.14226,1.13171,0.83189,0.3375,0.33205,0.14141,2.11595,1.44845,1.44235,0.00134794,0.00134794,0.00134794
60,30.1736,1.84084,1.26811,1.11883,0.83189,0.3375,0.33205,0.14141,2.11595,1.44845,1.44235,0.00134244,0.00134244,0.00134244
61,30.6528,1.82992,1.25409,1.21167,0.83189,0.3375,0.33205,0.14141,2.11595,1.44845,1.44235,0.00133693,0.00133693,0.00133693
62,31.1418,1.84806,1.27962,1.14845,0.84621,0.31875,0.33263,0.1414,2.15243,1.38058,1.46485,0.00133143,0.00133143,0.00133143
63,31.6166,1.84672,1.30612,1.19753,0.84621,0.31875,0.33263,0.1414,2.15243,1.38058,1.46485,0.00132593,0.00132593,0.00132593
64,32.0856,1.89966,1.26411,1.19912,0.84621,0.31875,0.33263,0.1414,2.15243,1.38058,1.46485,0.00132043,0.00132043,0.00132043
65,32.5637,1.79625,1.32757,1.13652,0.84621,0.31875,0.33263,0.1414,2.15243,1.38058,1.46485,0.00131493,0.00131493,0.00131493
66,33.0426,1.85474,1.19997,1.17249,0.83501,0.3,0.33153,0.14173,2.18465,1.42965,1.47465,0.00130943,0.00130943,0.00130943
67,33.5258,1.94529,1.25338,1.17973,0.83501,0.3,0.33153,0.14173,2.18465,1.42965,1.47465,0.00130393,0.00130393,0.00130393
68,33.9885,1.90097,1.30515,1.26048,0.83501,0.3,0.33153,0.14173,2.18465,1.42965,1.47465,0.00129843,0.00129843,0.00129843
69,34.4676,1.82598,1.13582,1.11396,0.83501,0.3,0.33153,0.14173,2.18465,1.42965,1.47465,0.00129293,0.00129293,0.00129293
70,34.9466,1.85389,1.18973,1.18486,0.86184,0.34375,0.35308,0.15139,2.12704,1.39762,1.44425,0.00128742,0.00128742,0.00128742
71,35.4295,1.74861,1.16002,1.12067,0.86184,0.34375,0.35308,0.15139,2.12704,1.39762,1.44425,0.00128192,0.00128192,0.00128192
72,35.9075,1.81284,1.2732,1.14415,0.86184,0.34375,0.35308,0.15139,2.12704,1.39762,1.44425,0.00127642,0.00127642,0.00127642
73,36.3844,1.78511,1.15463,1.13251,0.86184,0.34375,0.35308,0.15139,2.12704,1.39762,1.44425,0.00127092,0.00127092,0.00127092
74,36.8729,1.85859,1.21609,1.2099,0.85207,0.32725,0.34777,0.14856,2.15899,1.2723,1.45404,0.00126542,0.00126542,0.00126542
