epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,88.2024,1.32849,0.90611,0.99931,0.86033,0.32251,0.35432,0.13716,2.35211,1.11385,1.55464,0.000671301,0.000671301,0.000671301
183,88.6724,1.3388,0.895,0.98135,0.86033,0.32251,0.35432,0.13716,2.35211,1.11385,1.55464,0.0006658,0.0006658,0.0006658
184,89.137,1.27129,0.84898,0.98838,0.86033,0.32251,0.35432,0.13716,2.35211,1.11385,1.55464,0.000660299,0.000660299,0.000660299
185,89.6155,1.34223,0.86274,0.97129,0.86033,0.32251,0.35432,0.13716,2.35211,1.11385,1.55464,0.000654798,0.000654798,0.000654798
186,90.0921,1.35399,0.91954,0.98121,0.86418,0.3375,0.36897,0.14744,2.30454,1.09117,1.51374,0.000649297,0.000649297,0.000649297
187,90.5624,1.40444,0.87112,1.03164,0.86418,0.3375,0.36897,0.14744,2.30454,1.09117,1.51374,0.000643795,0.000643795,0.000643795
188,91.0313,1.45138,0.9041,1.00544,0.86418,0.3375,0.36897,0.14744,2.30454,1.09117,1.51374,0.000638294,0.000638294,0.000638294
189,91.5061,1.44007,0.88388,1.02191,0.86418,0.3375,0.36897,0.14744,2.30454,1.09117,1.51374,0.000632793,0.000632793,0.000632793
190,91.9803,1.24155,0.81315,0.97785,0.8486,0.33098,0.35296,0.15029,2.25545,1.07281,1.47678,0.000627292,0.000627292,0.000627292
191,92.4521,1.31123,0.85493,0.95317,0.8486,0.33098,0.35296,0.15029,2.25545,1.07281,1.47678,0.000621791,0.000621791,0.000621791
192,92.9229,1.33906,0.83187,0.98453,0.8486,0.33098,0.35296,0.15029,2.25545,1.07281,1.47678,0.00061629,0.00061629,0.00061629
193,93.3926,1.42266,0.92077,1.01717,0.8486,0.33098,0.35296,0.15029,2.25545,1.07281,1.47678,0.000610789,0.000610789,0.000610789
194,93.8723,1.40611,0.88836,0.9877,0.85531,0.34375,0.36204,0.15499,2.28405,1.08386,1.51039,0.000605288,0.000605288,0.000605288
195,94.3386,1.32081,0.80147,0.98642,0.85531,0.34375,0.36204,0.15499,2.28405,1.08386,1.51039,0.000599787,0.000599787,0.000599787
196,94.8028,1.40026,0.87347,1.04018,0.85531,0.34375,0.36204,0.15499,2.28405,1.08386,1.51039,0.000594286,0.000594286,0.000594286
197,95.2693,1.33095,0.91349,0.98433,0.85531,0.34375,0.36204,0.15499,2.28405,1.08386,1.51039,0.000588784,0.000588784,0.000588784
198,95.7563,1.41993,0.86427,1.01459,0.85851,0.35,0.36592,0.15575,2.32385,1.08128,1.52573,0.000583283,0.000583283,0.000583283
199,96.2221,1.30616,0.84812,0.97634,0.85851,0.35,0.36592,0.15575,2.32385,1.08128,1.52573,0.000577782,0.000577782,0.000577782
200,96.6972,1.33311,0.85161,0.96297,0.85851,0.35,0.36592,0.15575,2.32385,1.08128,1.52573,0.000572281,0.000572281,0.000572281
201,97.1639,1.48988,0.87752,0.99438,0.85851,0.35,0.36592,0.15575,2.32385,1.08128,1.52573,0.00056678,0.00056678,0.00056678
202,97.6505,1.43154,0.86279,1.0597,0.87917,0.3625,0.39195,0.15195,2.34423,1.0721,1.53531,0.000561279,0.000561279,0.000561279
203,98.1153,1.29239,0.81431,0.96664,0.87917,0.3625,0.39195,0.15195,2.34423,1.0721,1.53531,0.000555778,0.000555778,0.000555778
204,98.5864,1.40275,0.90518,1.01677,0.87917,0.3625,0.39195,0.15195,2.34423,1.0721,1.53531,0.000550277,0.000550277,0.000550277
205,99.0457,1.19552,0.82462,0.95717,0.87917,0.3625,0.39195,0.15195,2.34423,1.0721,1.53531,0.000544776,0.000544776,0.000544776
206,99.5357,1.28283,0.85579,0.9744,0.86238,0.35,0.37951,0.15243,2.32339,1.08167,1.51634,0.000539275,0.000539275,0.000539275
207,99.995,1.31834,0.84311,0.9713,0.86238,0.35,0.37951,0.15243,2.32339,1.08167,1.51634,0.000533773,0.000533773,0.000533773
208,100.465,1.37571,0.88977,1.0016,0.86238,0.35,0.37951,0.15243,2.32339,1.08167,1.51634,0.000528272,0.000528272,0.000528272
209,100.93,1.26844,0.80468,0.95909,0.86238,0.35,0.37951,0.15243,2.32339,1.08167,1.51634,0.000522771,0.000522771,0.000522771
